iter	Passed	Remaining
0	1	114
1	1	93
2	2	85
3	3	77
4	4	77
5	5	78
6	5	77
7	6	75
8	7	75
9	8	74
10	9	73
11	9	73
12	10	71
13	11	70
14	12	69
15	13	68
16	13	67
17	14	67
18	15	66
19	16	66
20	17	64
21	18	64
22	19	64
23	20	64
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	25	59
30	26	58
31	27	57
32	28	56
33	28	55
34	29	55
35	30	54
36	31	53
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	38	46
45	39	45
46	39	45
47	40	44
48	41	43
49	42	42
50	43	42
51	44	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	35
58	50	34
59	51	34
60	52	33
61	53	32
62	54	31
63	55	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	27
69	61	26
70	61	25
71	62	24
72	64	23
73	64	22
74	65	21
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	79	8
90	80	8
91	82	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
